Campaign,Ad Group,Keyword,Match Type,Status,Avg. monthly searches (Keyword Planner)
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron radiators,Exact,Enabled,12100
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron radiator,Exact,Enabled,2400
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron rads,Exact,Enabled,2400
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron rad,Exact,Enabled,2400
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),iron radiator,Exact,Enabled,480
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),iron radiators,Exact,Enabled,480
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron radiators,Phrase,Enabled,12100
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron radiator,Phrase,Enabled,2400
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron rads,Phrase,Enabled,2400
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),iron radiators,Phrase,Enabled,480
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron radiator heater,Phrase,Enabled,2400
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),wrought iron radiators,Phrase,Enabled,90
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron heaters,Phrase,Enabled,40
UK | Search | Cast Iron Radiators | AI Max,01 - Cast Iron Radiators (Core),cast iron central heating radiators,Phrase,Enabled,10
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),cast iron radiators for sale,Exact,Enabled,320
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),cast iron rads for sale,Exact,Enabled,320
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),cast iron radiators near me,Exact,Enabled,110
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),buy cast iron radiators,Exact,Enabled,20
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),cast iron radiators for sale,Phrase,Enabled,320
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),cast iron radiator for sale,Phrase,Enabled,320
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),cast iron rads for sale,Phrase,Enabled,320
UK | Search | Cast Iron Radiators | AI Max,02 - Cast Iron Radiators For Sale (Buy),buy cast iron radiator,Phrase,Enabled,20
